0,1,2,3,4,5,6,7,8,9
game,dungeon,turn,like,based,dark,hero,soul,darkest,make
game,like,not,get,map,time,animal,around,hunting,even
game,building,like,park,not,coaster,city,make,build,thing
game,not,like,time,review,would,one,people,say,thing
game,yes,dlc,buy,get,fun,worth,play,sale,not
mod,skyrim,game,bethesda,better,original,version,edition,not,free
game,character,combat,system,weapon,player,one,skill,enemy,well
game,love,recommend,would,fun,really,like,play,great,highly
game,friend,play,fun,great,get,server,multiplayer,good,player
game,like,not,feel,character,thing,time,really,get,story
game,story,class,mmo,level,fantasy,final,get,content,character
game,strategy,war,not,paradox,like,empire,play,nation,one
game,fun,like,good,really,pretty,story,bit,nice,great
game,fallout,quest,like,not,story,new,world,rpg,good
good,house,game,bad,bug,want,better,hour,not,price
game,steam,not,awesome,account,get,play,buy,even,square
get,game,one,level,not,enemy,time,need,make,like
game,story,character,great,amazing,well,music,gameplay,beautiful,soundtrack
game,played,best,hour,one,ever,time,playing,year,play
game,update,bug,not,still,time,get,early,fix,play
